City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,mahebourg,-20.4081,57.7,299.4,79,22,7.81,MU,1675801111
1,galesong,-5.3166,119.3661,297.16,80,99,2.93,ID,1675801112
2,saldanha,-33.0117,17.9442,291.66,90,71,10.42,ZA,1675801115
3,bluff,-46.6,168.3333,282.48,64,80,11.96,NZ,1675801116
4,santa flavia,38.085,13.5351,281.0,71,79,3.05,IT,1675801118
5,yulara,-25.2406,130.9889,298.61,24,0,2.66,AU,1675801119
6,georgetown,5.4112,100.3354,297.18,89,87,3.6,MY,1675800872
7,touros,-5.1989,-35.4608,301.05,62,24,7.91,BR,1675801117
8,guerrero negro,27.9769,-114.0611,293.47,22,1,1.13,MX,1675801120
9,lebu,-37.6167,-73.65,290.97,69,0,8.03,CL,1675801120
10,nanortalik,60.1432,-45.2371,258.75,70,41,11.16,GL,1675801121
11,rikitea,-23.1203,-134.9692,299.28,74,94,5.63,PF,1675801121
12,turukhansk,65.8167,87.9833,258.2,96,100,3.06,RU,1675801122
13,tuatapere,-46.1333,167.6833,283.9,82,59,5.82,NZ,1675801122
14,fortuna,40.5982,-124.1573,285.74,78,0,2.06,US,1675801123
15,redwater,33.3582,-94.2544,297.31,85,100,2.71,US,1675801124
16,cacoal,-11.4386,-61.4472,302.18,70,24,1.25,BR,1675801124
17,busselton,-33.65,115.3333,288.91,93,12,4.19,AU,1675801125
18,grand gaube,-20.0064,57.6608,299.47,77,12,3.13,MU,1675801125
19,mataura,-46.1927,168.8643,282.3,94,99,3.5,NZ,1675801126
20,ushuaia,-54.8,-68.3,286.11,55,92,1.42,AR,1675801127
21,inta,66.0317,60.1659,262.99,82,100,11.17,RU,1675801127
22,vestmannaeyjar,63.4427,-20.2734,272.75,74,100,16.28,IS,1675801128
23,kavieng,-2.5744,150.7967,300.27,78,100,2.86,PG,1675801128
24,honiara,-9.4333,159.95,298.87,85,100,1.4,SB,1675801129
25,nsunga,-1.1439,31.3947,291.5,78,74,1.15,TZ,1675801094
26,hay river,60.8156,-115.7999,257.64,91,98,4.62,CA,1675801129
27,ulladulla,-35.35,150.4667,291.55,90,100,2.72,AU,1675801130
28,black river,18.0264,-77.8487,302.9,54,51,3.3,JM,1675801131
29,port lincoln,-34.7333,135.8667,291.24,82,2,6.23,AU,1675800952
30,qaanaaq,77.484,-69.3632,243.5,65,100,2.0,GL,1675800942
31,chokurdakh,70.6333,147.9167,235.51,99,100,1.82,RU,1675801046
32,arlit,18.7369,7.3853,299.33,11,100,3.67,NE,1675801132
33,tyulyachi,55.8913,50.2399,249.85,100,87,1.72,RU,1675801133
34,jinxiang,27.4327,120.6062,284.52,84,100,4.06,CN,1675801133
35,labytnangi,66.6572,66.4183,253.85,95,100,4.13,RU,1675801134
36,nova olimpia,-14.7972,-57.2881,303.06,63,34,0.73,BR,1675801134
37,vaini,-21.2,-175.2,299.74,79,50,6.2,TO,1675801135
38,atuona,-9.8,-139.0333,299.02,76,12,7.13,PF,1675801065
39,kapaa,22.0752,-159.319,299.14,87,75,5.14,US,1675801135
40,tuktoyaktuk,69.4541,-133.0374,241.22,90,100,1.09,CA,1675801136
41,leningradskiy,69.3833,178.4167,241.52,96,100,2.61,RU,1675801136
42,troitsko-pechorsk,62.7084,56.1964,259.43,96,100,3.42,RU,1675801137
43,new norfolk,-42.7826,147.0587,285.87,65,10,0.84,AU,1675801133
44,nikolskoye,59.7035,30.7861,271.09,89,97,4.26,RU,1675801138
45,ouesso,1.6136,16.0517,301.53,31,97,1.14,CG,1675801138
46,okhotsk,59.3833,143.3,248.38,86,98,4.25,RU,1675801139
47,dakar,14.6937,-17.4441,293.64,71,100,9.08,SN,1675800900
48,punta arenas,-53.15,-70.9167,290.16,51,75,8.23,CL,1675801139
49,presidente epitacio,-21.7633,-52.1156,300.21,71,99,3.56,BR,1675801140
50,port alfred,-33.5906,26.891,294.92,90,100,0.89,ZA,1675801140
51,lorengau,-2.0226,147.2712,299.42,88,100,6.29,PG,1675801141
52,seydi,39.4816,62.9137,283.4,44,97,7.32,TM,1675801141
53,banff,51.1762,-115.5698,273.5,85,93,2.41,CA,1675800946
54,castro,-24.7911,-50.0119,298.95,57,8,2.07,BR,1675801142
55,noumea,-22.2763,166.4572,301.48,99,94,3.6,NC,1675801142
56,barrow,71.2906,-156.7887,251.16,77,100,4.12,US,1675801143
57,khatanga,71.9667,102.5,229.21,100,78,0.76,RU,1675801144
58,hobart,-42.8794,147.3294,286.07,71,75,2.57,AU,1675801030
59,houma,29.5958,-90.7195,299.83,64,0,5.14,US,1675801095
60,talnakh,69.4865,88.3972,251.22,98,100,2.9,RU,1675801079
61,kushmurun,52.4503,64.6311,254.47,99,97,2.16,KZ,1675801145
62,buala,-8.145,159.5921,299.69,88,100,3.95,SB,1675801147
63,puerto baquerizo moreno,-0.9,-89.6,301.7,74,75,4.12,EC,1675801149
64,cape town,-33.9258,18.4232,296.55,74,60,5.36,ZA,1675801049
65,kapoeta,4.7717,33.5903,303.32,23,7,3.39,SS,1675801151
66,beringovskiy,63.05,179.3167,243.99,96,95,3.39,RU,1675801131
67,samarai,-10.6167,150.6667,299.54,83,100,4.98,PG,1675801154
68,cabo san lucas,22.8909,-109.9124,300.16,63,20,2.57,MX,1675801139
69,tenosique,17.4833,-91.4333,303.04,56,15,5.75,MX,1675801157
70,bredasdorp,-34.5322,20.0403,293.44,72,100,4.34,ZA,1675801158
71,albany,42.6001,-73.9662,277.44,43,100,1.79,US,1675800923
72,te anau,-45.4167,167.7167,282.61,84,56,2.81,NZ,1675801129
73,jasper,37.2001,-94.3502,282.03,70,100,2.06,US,1675801071
74,durant,33.994,-96.3708,283.1,89,100,6.69,US,1675801160
75,sao filipe,14.8961,-24.4956,293.69,64,2,6.99,CV,1675801161
76,hermanus,-34.4187,19.2345,293.6,78,99,5.79,ZA,1675801162
77,kieta,-6.2167,155.6333,299.68,84,100,2.41,PG,1675801164
78,narsaq,60.9167,-46.05,254.27,72,0,2.87,GL,1675801164
79,san jose de rio tinto,14.9333,-85.7,305.91,52,78,3.17,HN,1675801165
80,ust-maya,60.4167,134.5333,235.73,100,100,0.53,RU,1675801166
81,evensk,61.95,159.2333,242.66,74,73,4.03,RU,1675801167
82,provideniya,64.3833,-173.3,245.99,94,58,1.66,RU,1675801167
83,bambous virieux,-20.3428,57.7575,299.38,78,21,7.62,MU,1675801168
84,ankara,39.9199,32.8543,268.81,63,40,4.12,TR,1675800897
85,am timan,11.0297,20.2827,301.91,12,6,3.35,TD,1675801169
86,umm lajj,25.0213,37.2685,290.14,58,94,7.01,SA,1675801172
87,jamestown,42.097,-79.2353,281.92,60,100,4.63,US,1675800934
88,havre-saint-pierre,50.2334,-63.5986,261.98,80,13,3.17,CA,1675801175
89,geraldton,-28.7667,114.6,292.38,88,75,4.63,AU,1675801176
